candidate_id,task_count,valid_artifacts,invalid_artifacts,failed_tasks,total_tokens,average_tokens_per_task,total_cost_usd,average_cost_per_task_usd,usage_status
gpt-6-astra__high,500,500,0,0,78442233,156884.466,320.685038,0.641370,complete
gpt-6-astra__xhigh,500,478,22,0,264779721,529559.442,966.823547,1.933647,complete
gpt-6-astra__max,500,466,34,0,424586813,849173.626,1598.362418,3.196725,complete
gpt-6-astra__medium,500,497,3,0,47611210,95222.42,207.779328,0.415559,complete
kimi-k3__high,500,496,3,1,1743242437,3486484.874,1157.910000,2.315820,lower_bound_missing_usage
gpt-6-astra__low,500,488,12,0,41149029,82298.058,178.636943,0.357274,complete
gpt-5.6-sol__max,500,500,0,0,685426204,1370852.408,987.709252,1.975419,complete
qwen3.8-max__xhigh,500,491,8,1,533760624,1067521.248,306.670358,0.613341,incomplete_usage
gpt-5.6-sol__xhigh,500,500,0,0,265835604,531671.208,494.514932,0.989030,complete
claude-opus-5__xhigh,500,500,0,0,448181517,896363.034,685.168821,1.370338,complete
claude-opus-5__max,500,500,0,0,500732732,1001465.464,719.247779,1.438496,complete
gpt-5.6-terra__max,500,500,0,0,282670297,565340.594,282.758526,0.565517,complete
claude-opus-5__high,500,500,0,0,255816196,511632.392,364.607297,0.729215,complete
glm-5.3-flash__max,500,453,47,0,1190559998,2381119.996,52.525738,0.105051,complete
gpt-5.6-luna__max,500,499,1,0,528439489,1056878.978,166.478418,0.332957,complete
gpt-5.6-sol__high,500,500,0,0,127099522,254199.044,284.679306,0.569359,complete
gpt-5.6-terra__xhigh,500,499,1,0,103670450,207340.900,125.199802,0.250400,complete
gpt-5.6-luna__xhigh,500,500,0,0,205262244,410524.488,86.697305,0.173395,complete
claude-opus-5__medium,500,499,1,0,79766678,159533.356,131.883788,0.263768,complete
gpt-5.6-sol__medium,500,500,0,0,73396294,146792.588,179.008075,0.358016,complete
gpt-5.6-luna__high,500,498,2,0,127671708,255343.416,57.324359,0.114649,complete
claude-opus-5__low,500,498,2,0,43780478,87560.956,73.129172,0.146258,complete
gpt-5.6-terra__high,500,500,0,0,76438886,152877.772,80.920644,0.161841,complete
gpt-5.6-sol__low,500,489,11,0,46513029,93026.058,123.295844,0.246592,complete
gpt-5.6-terra__medium,500,496,4,0,55665184,111330.368,61.564606,0.123129,complete
gpt-5.5__medium,500,493,7,0,121954083,243908.166,261.936695,0.523873,complete
claude-sonnet-5__xhigh,500,478,22,0,447682275,895364.550,206.336278,0.412673,complete
claude-sonnet-5__high,500,492,8,0,286127704,572255.408,135.993134,0.271986,complete
gpt-5.6-terra__low,500,483,17,0,59637158,119274.316,58.160982,0.116322,complete
gpt-5.6-luna__medium,500,495,5,0,65681989,131363.978,31.118182,0.062236,complete
claude-sonnet-5__medium,500,487,13,0,185533841,371067.682,98.648357,0.197297,complete
gpt-5.6-sol__none,500,492,8,0,41827657,83655.314,117.265255,0.234531,complete
claude-sonnet-5__low,500,439,61,0,97103517,194207.034,60.578894,0.121158,complete
gpt-5.6-terra__none,500,473,27,0,35260896,70521.792,45.128126,0.090256,complete
gpt-5.6-luna__low,500,471,29,0,38493181,76986.362,20.672613,0.041345,complete
gpt-5.6-luna__none,500,456,44,0,38854548,77709.096,21.526583,0.043053,complete
