dimension,category,issue_type,severity,case_count,mean_max_ratio,total_penalty,single_round_rate
text_and_typography,improper_typography,unexpected_wrap,medium,1864,0.576550429184548,5723.940000000026,0.06813304721030043
text_and_typography,text_overflow_or_edge_touch,outside_text_box,high,658,0.3186474164133742,3441.75,0.35714285714285715
local_graphics_and_nodes,node_shape_error,node_aspect_ratio,medium,802,0.6547506234413966,2614.520000000005,0.5374064837905237
text_and_typography,improper_typography,horizontal_alignment,medium,737,0.6942605156037995,2446.740000000003,0.4206241519674355
text_and_typography,text_overflow_or_edge_touch,text_connector_overlap,high,385,0.34181818181818185,2061.75,0.5532467532467532
text_and_typography,text_overflow_or_edge_touch,text_node_overlap,high,379,0.30569920844327153,1929.75,0.43535620052770446
local_graphics_and_nodes,vector_and_icon_confusion,substituted_icon,medium,542,0.7941143911439114,1877.000000000001,0.36531365313653136
local_graphics_and_nodes,node_shape_error,node_size,medium,520,0.6544423076923074,1699.6900000000019,0.6711538461538461
text_and_typography,improper_typography,font_size,low,1315,0.9046920152091247,1593.1699999999992,0.46083650190114067
text_and_typography,text_overflow_or_edge_touch,edge_touch,medium,574,0.3078222996515677,1473.060000000005,0.627177700348432
local_graphics_and_nodes,node_style_error,node_fill,low,1200,0.8479000000000003,1421.1999999999994,0.44166666666666665
text_and_typography,improper_typography,mid_word_break,medium,434,0.5750460829493093,1343.5400000000009,0.4815668202764977
text_and_typography,improper_typography,vertical_alignment,medium,382,0.7978795811518328,1325.7700000000004,0.7617801047120419
text_and_typography,improper_typography,text_color,medium,388,0.7369845360824737,1307.0000000000007,0.45103092783505155
layout_and_composition,node_layout_deviation,node_spacing,medium,360,0.7809444444444446,1237.5600000000002,0.7333333333333333
text_and_typography,text_overflow_or_edge_touch,text_clipping,high,247,0.2667206477732794,1198.5,0.5141700404858299
text_and_typography,text_overflow_or_edge_touch,text_text_overlap,high,215,0.28497674418604657,1098.75,0.3813953488372093
local_graphics_and_nodes,vector_and_icon_confusion,primitive_count,medium,280,0.7442142857142854,950.7099999999999,0.725
