rank,candidate_id,task_count,majority_gate_count,majority_gate_rate,mean_layout_score,mean_text_score,mean_local_graphics_score,mean_final_score,mean_issue_count,single_round_issue_rate
1,gpt-6-astra__high,500,96,0.192,24.024,30.02048,23.3005,77.34497999999999,1.59,0.690566037735849
2,gpt-6-astra__xhigh,500,126,0.252,22.314,28.58766,21.7007,72.60236,1.074,0.7113594040968343
3,gpt-6-astra__max,500,145,0.29,21.152240000000003,27.04394,20.56596,68.76214,0.944,0.7266949152542372
4,gpt-6-astra__medium,500,142,0.284,21.252740000000003,26.36316,20.54468,68.16058,1.522,0.6005256241787122
5,kimi-k3__high,500,131,0.262,21.492720000000002,26.33394,19.97304,67.7997,2.366,0.5663567202028741
6,gpt-6-astra__low,500,185,0.37,18.653,22.98874,17.782700000000002,59.424440000000004,1.572,0.6450381679389313
7,gpt-5.6-sol__max,500,237,0.474,15.57024,18.93072,14.78036,49.28132,1.294,0.5672333848531684
8,qwen3.8-max__xhigh,500,234,0.468,15.51248,17.99478,14.18672,47.69398,2.116,0.5964083175803403
9,gpt-5.6-sol__xhigh,500,300,0.6,11.725719999999999,13.4955,11.01474,36.23596,1.428,0.5462184873949579
10,claude-opus-5__xhigh,500,282,0.564,11.41522,15.58906,8.904219999999999,35.9085,3.348,0.572879330943847
11,claude-opus-5__max,500,296,0.592,10.76596,14.457559999999999,8.31802,33.54154,3.204,0.550561797752809
12,gpt-5.6-terra__max,500,313,0.626,10.994,12.06662,10.40298,33.4636,1.35,0.5274074074074074
13,claude-opus-5__high,500,296,0.592,10.62494,14.06424,8.432120000000001,33.121300000000005,3.176,0.5573047858942065
14,glm-5.3-flash__max,500,316,0.632,10.449459999999998,12.60906,9.35894,32.41746,1.76,0.5431818181818182
15,gpt-5.6-luna__max,500,318,0.636,10.698739999999999,10.43126,9.8939,31.0239,1.756,0.520501138952164
16,gpt-5.6-sol__high,500,341,0.682,9.279219999999999,10.272680000000001,8.7309,28.282799999999998,1.298,0.514637904468413
17,gpt-5.6-terra__xhigh,500,352,0.704,8.6695,9.25006,7.92424,25.843799999999998,1.348,0.4792284866468843
18,gpt-5.6-luna__xhigh,500,355,0.71,8.52374,8.27412,7.83496,24.63282,1.46,0.45616438356164385
19,claude-opus-5__medium,500,344,0.688,8.17446,9.35678,6.5991800000000005,24.13042,2.794,0.5361488904795991
20,gpt-5.6-sol__medium,500,373,0.746,7.44924,8.07804,6.67124,22.198520000000002,1.208,0.5198675496688742
21,gpt-5.6-luna__high,500,381,0.762,6.8855,6.4405600000000005,6.1464799999999995,19.472540000000002,1.422,0.5274261603375527
22,claude-opus-5__low,500,382,0.764,6.02472,6.8892,4.98246,17.89638,2.108,0.5455407969639469
23,gpt-5.6-terra__high,500,403,0.806,5.6689799999999995,6.07712,5.13992,16.886020000000002,0.98,0.5061224489795918
24,gpt-5.6-sol__low,500,435,0.87,3.7995,3.8769400000000003,3.4482,11.12464,0.684,0.48830409356725146
25,gpt-5.6-terra__medium,500,440,0.88,3.4295,3.54794,3.1182600000000003,10.0957,0.694,0.4697406340057637
26,gpt-5.5__medium,500,443,0.886,3.2705,3.38788,2.98446,9.64284,0.64,0.4875
27,claude-sonnet-5__xhigh,500,436,0.872,2.7465,3.97098,2.2582199999999997,8.975700000000002,1.372,0.4577259475218659
28,claude-sonnet-5__high,500,438,0.876,2.8192399999999997,3.7394600000000002,2.2047,8.763399999999999,1.324,0.5181268882175226
29,gpt-5.6-terra__low,500,451,0.902,2.8675,3.1357199999999996,2.5982399999999997,8.60146,0.478,0.4895397489539749
30,gpt-5.6-luna__medium,500,450,0.9,2.926,2.6546999999999996,2.57052,8.15122,0.624,0.4807692307692308
31,claude-sonnet-5__medium,500,454,0.908,1.79924,2.64548,1.543,5.98772,1.112,0.4910071942446043
32,gpt-5.6-sol__none,500,471,0.942,1.6485,1.88424,1.45574,4.988479999999999,0.318,0.5031446540880503
33,claude-sonnet-5__low,500,468,0.936,1.1595,1.79248,1.07948,4.03146,0.814,0.4643734643734644
34,gpt-5.6-terra__none,500,479,0.958,1.2005,1.31724,1.02748,3.54522,0.25,0.456
35,gpt-5.6-luna__low,500,482,0.964,1.017,1.08224,0.93498,3.0342200000000004,0.216,0.46296296296296297
36,gpt-5.6-luna__none,500,491,0.982,0.49574,0.55424,0.485,1.53498,0.102,0.49019607843137253
